Date,12-15,16-17,25-39,40-49,50-64,65-74,75+
2020-12-17,0,0,11.11111111111111,0,66.66666666666666,22.22222222222222,0
2020-12-18,0,0,37.17948717948718,23.076923076923077,28.205128205128204,6.41025641025641,5.128205128205128
2020-12-19,0,0,37.362637362637365,18.681318681318682,34.798534798534796,8.424908424908425,0.7326007326007326
2020-12-20,0,0,32.77777777777778,25.555555555555554,33.88888888888889,6.944444444444445,0.8333333333333334
2020-12-21,0,0,36.54320987654321,24.444444444444443,32.592592592592595,6.172839506172839,0.24691358024691357
2020-12-22,0,0,41.54727793696275,19.770773638968482,32.09169054441261,6.303724928366762,0.28653295128939826
2020-12-23,0,0,35.674157303370784,21.34831460674157,32.30337078651686,7.865168539325842,2.8089887640449436
2020-12-24,0,0,35.456730769230774,22.235576923076923,31.850961538461537,8.413461538461538,2.043269230769231
2020-12-25,0.1277139208173691,0,33.4610472541507,20.561941251596423,35.37675606641124,8.42911877394636,2.0434227330779056
2020-12-26,0,0,38.991596638655466,22.35294117647059,27.22689075630252,6.722689075630252,4.705882352941177
2020-12-27,0,0,29.03225806451613,12.903225806451612,40.32258064516129,9.67741935483871,8.064516129032258
2020-12-28,0,0,22.33502538071066,17.766497461928935,43.65482233502538,8.629441624365482,7.614213197969544
2020-12-29,0,0,29.790940766550523,24.390243902439025,32.57839721254355,8.885017421602788,4.355400696864112
2020-12-30,0,0,26.19378766805749,22.90217895224849,37.181270282800185,9.782104775150673,3.9406583217431614
2020-12-31,0,0,26.124567474048444,21.91464821222607,36.15916955017301,11.13033448673587,4.671280276816609
2021-01-01,0.06447453255963895,0.06447453255963895,25.53191489361702,20.502901353965182,31.20567375886525,12.443584784010316,10.186976144422953
2021-01-02,0,0,22.983870967741936,18.75,30.64516129032258,13.709677419354838,13.911290322580644
2021-01-03,0,0.21097046413502107,29.324894514767934,15.18987341772152,21.09704641350211,14.135021097046414,20.042194092827003
2021-01-04,0,0,27.088948787061994,19.137466307277627,28.57142857142857,10.242587601078167,14.959568733153638
2021-01-05,0,0,36.4135407136322,21.774931381518755,31.747483989021042,7.959743824336687,2.104300091491308
2021-01-06,0,0,38.25794307227198,23.900519080485996,29.855684216530715,6.274599281273173,1.711254349438138
2021-01-07,0,0.028093833403567917,34.84438022996809,23.1794192603295,30.67043926715229,7.007404731804226,4.270262677342323
2021-01-08,0.00207686476495083,0.011422756207229566,36.89342568458655,23.41457336005566,30.820673111870324,6.776809728034559,2.0810184944807317
2021-01-09,0,0.02126728726636366,37.26393311134336,23.655907444765816,31.170551491140657,6.392338915489877,1.4960017499939238
2021-01-10,0,0.016153960339844398,37.5387476751395,24.02967089580259,31.01735022659204,6.151602734821826,1.2464745073042096
2021-01-11,9.060843564535859e-4,0.0443981334662257,39.49259276038599,23.439496217097812,29.938839305939386,5.946631631404884,1.1371358673492502
2021-01-12,0.0013366303548753592,0.03475238922675934,40.02004945532313,23.436476642384548,28.595869812203432,6.254093430461806,1.6574216400454453
2021-01-13,4.5031048908222214e-4,0.01846273005237111,37.024978722829395,23.205400123385072,31.59468453498687,6.692514488739986,1.463509089517222
2021-01-14,0,0.03059706184378733,36.532891841482076,22.82540813546535,31.517069388268332,6.8608671961774625,2.2331663767629983
2021-01-15,8.897826261044427e-4,0.04626869655743102,34.91195600914697,22.26325108775926,31.319458656250276,7.406105688380328,4.052070079279632
2021-01-16,6.404960001024793e-4,0.0403512480064562,34.235151701477626,22.264921955562386,30.422279012867566,7.6276668652204265,5.408988720865438
2021-01-17,9.10738517864136e-4,0.03734027923242957,33.538856658864674,20.78032076210599,30.358557754483112,8.315953406617425,6.968060400178505
2021-01-18,0,0.09657009657009658,32.51581751581752,20.724275724275724,29.525474525474525,8.564768564768563,8.573093573093574
2021-01-19,0,0.09040450761079809,33.39710705575645,21.45530232949289,30.346480531494407,8.836515011353125,5.874190564292322
2021-01-20,0,0.07967544451580907,32.05066707859414,21.313181407978927,32.38806819567639,8.747225587199896,5.4211822860348455
2021-01-21,4.6608747529736376e-4,0.04940527238152056,31.621704761549648,21.790521645102352,33.42499720347515,8.543849509675976,4.569055520340058
2021-01-22,0.0012771228975364298,0.0769466545765699,29.703005070177902,21.13957676147176,32.31408283419113,9.1288744715904,7.636237085094699
2021-01-23,8.429535406156089e-4,0.08050206312879066,28.445045751303415,19.557786572593052,31.15724876823414,10.01344510897282,10.745128782227168
2021-01-24,0.0010735084941359597,0.09822602721344033,29.637422506105583,20.465902686455006,30.73991572958321,9.158100963473874,9.899358578674754
2021-01-25,0,0.0779670102088054,32.83385717418317,21.607419860471538,30.595554256105384,7.840557464122994,7.0446442349081035
2021-01-26,0,0.12494320763289414,27.398703068853003,18.484366610218494,28.37243401759531,9.96034860187518,15.659204493825122
2021-01-27,3.541289666870881e-4,0.05772302156999536,28.770853769525782,20.299380628437262,32.0260072313135,10.250262940757764,8.595418279429003
2021-01-28,5.114134701193894e-4,0.07236500602189361,27.546263741040676,19.50812252443917,30.868149936201167,11.012521958815872,10.992065420011098
2021-01-29,8.596770623115427e-4,0.07737093560803884,25.74109535752894,18.59696405045445,30.452555497527356,12.049878463155315,13.08127601866359
2021-01-30,0.001653661797813859,0.07417854350193596,24.739489207494394,17.53259485522191,28.37801763748426,12.76367046772643,16.51039562677326
2021-01-31,8.35363731291333e-4,0.10414201183431952,25.590532544378696,17.52119735468152,28.006126000696135,12.492864601461887,16.28430212321615
2021-02-01,0.001267416413887504,0.1487101925628005,23.6153475678279,15.914525437047427,24.863752735507095,14.54360334935911,20.91279330128178
