LongName,Pct Chg Doses administered,Pct Chg Ppl w 1 Doses,Pct Chg Ppl w 2 Doses
Rhode Island,0.49948638022032515,0.5107619634421853,0.47400324816432965
Maine,0.5494602734338615,0.4521717050600234,0.8370306309205366
South Dakota,0.48062388046659965,0.44826393629124006,0.5501024936812148
Marshall Islands,0.5934658134051869,0.4448690999426715,1.7744360902255638
New Mexico,0.4587336442143269,0.4121722075257034,0.569578228747779
Hawaii,0.4814244098264561,0.37964343796986716,0.7436816144218256
Iowa,0.34701387915323145,0.36251492832912907,0.31214744339598116
Nebraska,0.3746762428773433,0.3608278512975429,0.405631762415682
Massachusetts,0.38181568630340906,0.33681835349495826,0.5220241761626117
Virgin Islands,0.374755859375,0.3366552119129439,0.4682405845980888
Arizona,0.400897025675868,0.33504353455868,0.62660886390634
Montana,0.3744414908659012,0.325144723751929,0.4994152526723979
Colorado,0.330876870804817,0.3192985902417928,0.3530281005254458
Vermont,0.34927472445147817,0.31612064838246356,0.4229287953425884
Idaho,0.40508058358612437,0.31361930141264793,0.7573681329354218
District of Columbia,0.37432921451122303,0.3089804106679254,0.5228371990766186
Republic of Palau,0.6368896088868318,0.3039562560308781,1.4909240924092408
New Hampshire,0.31517063790813316,0.29543750596382173,0.3623536280774595
North Dakota,0.32004620054258776,0.29492572762771224,0.38166638627187077
Wyoming,0.3740098285552831,0.28607315813713313,0.6068111455108359
Connecticut,0.3233684697289478,0.2739153593486449,0.4574795028597027
Oklahoma,0.3286109556036896,0.2574793978775729,0.487893197509003
Illinois,0.30298647199804984,0.2569132730763089,0.4770245291502223
Kansas,0.32667064974627097,0.25423039488320354,0.5340369446233098
Pennsylvania,0.30661456478447613,0.25409205941683477,0.4645026847635534
Nevada,0.39680409315092796,0.2514625058362909,0.8644852694756725
South Carolina,0.3364878029384282,0.24451669485447292,0.6029731840976988
Minnesota,0.34397749967556446,0.24370792399945931,0.6322269592196603
California,0.3277671522929399,0.23952822252193304,0.6355673106051779
Maryland,0.3307767152294846,0.23448025141176757,0.5865260224898
Wisconsin,0.3184333041661608,0.2252798954230689,0.6025759557579812
Alabama,0.33132327432732167,0.22446710894075708,0.7008654912721116
Alaska,0.3051498387105548,0.2216393286965604,0.4878932717054467
Ohio,0.31727588397830875,0.22089784790740355,0.581583079627516
Missouri,0.3099987500383243,0.21932782426641795,0.5646724354340102
Florida,0.27052709224373794,0.21874820413834134,0.379506069701764
New Jersey,0.30365656360541216,0.21447063042444658,0.558373580658489
New York State,0.2897306359322108,0.21201353418806823,0.505182111815551
Oregon,0.28845623887444793,0.19520806319758072,0.5131405194065405
Virginia,0.3030450159419317,0.19188349120190518,0.6775816987338688
North Carolina,0.30961553323626606,0.19146293375394322,0.6151225945579868
Kentucky,0.2543903071447092,0.187208728267928,0.43030648625315093
Washington,0.28041931603957576,0.1868260200056726,0.5738114000525348
Guam,0.30754492258298377,0.1867110355553948,0.6224738023952096
West Virginia,0.21744360202078208,0.18653230462394374,0.27236790944830863
Puerto Rico,0.2553243746750244,0.18249444923573774,0.4405706249482963
Georgia,0.3079261718918453,0.1806050627220524,0.650835712445517
Delaware,0.27439786392783244,0.1799081735972906,0.6255346518732915
Michigan,0.2370993156894228,0.17504302407980454,0.3808231007521431
Tennessee,0.17863062709069005,0.16444896040279652,0.2091616675775874
Utah,0.19750640351031912,0.16140220609068615,0.3860024218572618
Indiana,0.22665869593549373,0.15287466907645225,0.4211356247258753
Louisiana,0.17965039556396306,0.1493844012323543,0.2424210763196811
Mississippi,0.1836548860247473,0.14389067524115756,0.29236813552203283
Federated States of Micronesia,0.2953797132235794,0.14361389052383755,1.737020316027088
Northern Mariana Islands,0.19107168823614948,0.12691771269177127,0.2985800427932309
Texas,0.16124329815056412,0.1142319588392363,0.27972855078810616
Arkansas,0.14317639290974657,0.10092702245349383,0.2542235354455476
American Samoa,0.22324795215186582,0.09103557940767243,0.472871137905049
